repetition,group,rmse,r2,mae,rp
0,trainBA,0.005946319550275803,0.9493891283125159,0.0013901233905926347,0.99589239773158
0,validBA,0.05197816342115402,0.9313265786725663,0.02324534021317959,1.0
0,trainEL,0.037720467895269394,0.9911072908057068,0.03152299299836159,0.9993690008535211
0,validEL,0.13095489144325256,0.9285450718496826,0.0927480012178421,0.9741435133165862
1,trainBA,0.00488684419542551,0.9658174603940811,0.0013035335578024387,0.999280954103387
1,validBA,0.0005224044434726238,0.9999930631780118,0.00023362637148238719,1.0
1,trainEL,0.09535377472639084,0.9431728580924953,0.0785173699259758,0.9935379229871123
1,validEL,0.33218643069267273,0.5402173430742381,0.20580697059631348,0.7546644516283463
2,trainBA,0.013680999167263508,0.732093678931932,0.003833669936284423,0.9991393437641882
2,validBA,0.002413741312921047,0.9998519091116896,0.0010794580448418856,1.0
2,trainEL,0.11906806379556656,0.9113924789433365,0.09196767210960388,0.9740560198097875
2,validEL,0.22756743431091309,0.7842210995474347,0.18896213173866272,0.9329481420283343
